,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
155,PORD11,Títulos e Val. Mob.,"R$ 102,82",2184.0,"R$ 0,86","0,82%","2,42%","4,99%","9,26%","0,81%","0,83%","0,77%","2,42%","1,06%","1,89%","3,55%","R$ 200.145.258,15","R$ 101,45",101.0,,,,,,,0
156,PQAG11,Logística,"R$ 64,00",89.0,"R$ 0,36","0,53%","1,53%","0,00%","0,00%","0,51%","0,00%","0,00%","1,53%","-4,17%","-3,66%","-2,06%","R$ 760.757.277,02","R$ 54,37",118.0,,,,,"0,00%",,1
157,PQDP11,Shoppings,"R$ 2.830,01",17.0,"R$ 11,59","0,42%","1,24%","2,05%","4,69%","0,41%","0,34%","0,39%","0,96%","-3,68%","-3,28%","-2,75%","R$ 858.198.969,76","R$ 3.598,67",79.0,,,,,"4,20%",,1
158,PRSV11,Lajes Corporativas,"R$ 147,50",1.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 46.144.422,87","R$ 236,64",62.0,,,,,"40,90%",,2
159,PVBI11,Lajes Corporativas,"R$ 96,08",33064.0,"R$ 0,50","0,52%","1,54%","3,00%","0,00%","0,51%","0,50%","0,00%","1,03%","-1,20%","-0,69%","-0,18%","R$ 937.390.900,16","R$ 96,44",100.0,,,,,"0,00%","0,00%",2
160,QAGR11,Outros,"R$ 53,50",29294.0,"R$ 0,40","0,75%","2,10%","3,50%","5,69%","0,70%","0,58%","0,47%","1,60%","-1,16%","-0,42%","0,43%","R$ 295.099.926,08","R$ 58,55",91.0,,,,,,,12
161,QIFF11,Títulos e Val. Mob.,"R$ 104,99",426.0,"R$ 0,75","0,73%","2,18%","4,59%","0,00%","0,73%","0,77%","0,00%","2,18%","-2,46%","-1,75%","4,39%","R$ 14.847.744,25","R$ 98,98",106.0,,,,,,,0
162,RBBV11,Títulos e Val. Mob.,"R$ 95,36",1510.0,"R$ 0,95","0,98%","2,76%","5,61%","6,82%","0,92%","0,93%","0,57%","2,76%","-2,97%","-2,02%","1,87%","R$ 126.547.951,44","R$ 100,90",95.0,,,,,,,1
163,RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",inf,,,,,,,0
164,RBCO11,Lajes Corporativas,"R$ 61,79",8549.0,"R$ 0,42","0,61%","1,93%","3,80%","6,73%","0,64%","0,63%","0,56%","1,93%","-10,22%","-9,67%","-17,54%","R$ 385.537.348,53","R$ 102,02",61.0,,,,,"32,00%","14,00%",4
165,RBDS11,Residencial,"R$ 22,00",100.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 2.847.464,42","R$ 22,51",98.0,,,,,,,0
166,RBED11,Outros,"R$ 142,01",2156.0,"R$ 1,03","0,71%","2,05%","3,98%","7,67%","0,68%","0,66%","0,64%","2,05%","-3,76%","-3,07%","-3,93%","R$ 269.145.282,00","R$ 150,59",94.0,,,,,"0,00%",,5
167,RBFF11,Títulos e Val. Mob.,"R$ 67,56",11910.0,"R$ 0,50","0,74%","1,91%","4,14%","7,91%","0,64%","0,69%","0,66%","1,91%","-6,47%","-5,78%","-8,12%","R$ 274.644.002,77","R$ 73,30",92.0,,,,,,,0
168,RBGS11,Shoppings,"R$ 39,30",298.0,"R$ 0,28","0,70%","1,77%","1,77%","5,16%","0,59%","0,29%","0,43%","1,65%","-3,33%","-2,66%","-1,73%","R$ 98.103.616,53","R$ 91,01",43.0,,,,,"11,50%",,1
169,RBIV11,Títulos e Val. Mob.,"R$ 85,00",3312.0,"R$ 0,70","0,81%","2,51%","4,35%","7,60%","0,84%","0,72%","0,63%","2,51%","0,72%","1,54%","6,73%","R$ 102.840.461,30","R$ 100,39",85.0,,,,,,,0
170,RBLG11,Logística,"R$ 109,50",59.0,"R$ 0,30","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 70.973.675,08","R$ 110,86",99.0,,,,,,,0
171,RBRD11,Híbrido,"R$ 62,00",2239.0,"R$ 0,02","0,04%","0,19%","5,07%","23,53%","0,06%","0,85%","1,96%","0,10%","-14,01%","-13,98%","-13,92%","R$ 131.289.459,19","R$ 70,90",87.0,,,,,"31,72%",,4
172,RBRF11,Títulos e Val. Mob.,"R$ 92,10",56871.0,"R$ 0,60","0,64%","1,89%","4,34%","7,92%","0,63%","0,72%","0,66%","1,89%","1,06%","1,71%","-4,05%","R$ 1.253.694.924,34","R$ 91,64",101.0,,,,,,,0
173,RBRL11,Logística,"R$ 108,31",25242.0,"R$ 0,63","0,59%","1,72%","3,52%","7,34%","0,57%","0,59%","0,61%","1,72%","-0,08%","0,50%","1,07%","R$ 603.493.988,52","R$ 106,56",102.0,,,,,"0,00%","0,00%",6
174,RBRP11,Outros,"R$ 87,00",43275.0,"R$ 0,50","0,54%","1,65%","3,44%","6,81%","0,55%","0,57%","0,57%","1,65%","1,21%","1,76%","-4,86%","R$ 747.604.356,35","R$ 87,41",100.0,,,,,"10,00%","13,00%",15
175,RBRR11,Títulos e Val. Mob.,"R$ 101,75",47433.0,"R$ 0,70","0,70%","1,96%","3,65%","6,83%","0,65%","0,61%","0,57%","1,96%","2,96%","3,68%","6,03%","R$ 756.871.571,86","R$ 99,09",103.0,,,,,,,0
176,RBRS11,,"R$ 69,90",571.0,"R$ 0,40","0,50%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,37%","-11,06%","-10,62%","-12,84%","R$ 101.072.387,59","R$ 96,75",72.0,,,,,,,0
177,RBRY11,Títulos e Val. Mob.,"R$ 102,90",8223.0,"R$ 0,70","0,66%","2,08%","4,30%","8,03%","0,69%","0,72%","0,67%","2,08%","0,28%","0,94%","0,95%","R$ 351.034.322,70","R$ 103,33",100.0,,,,,,,0
178,RBVA11,Outros,"R$ 108,90",10318.0,"R$ 0,85","0,77%","2,37%","4,68%","8,71%","0,79%","0,78%","0,73%","2,37%","-0,23%","0,54%","-0,31%","R$ 1.323.970.702,68","R$ 114,25",95.0,,,,,"0,60%",,72
179,RBVO11,Outros,"R$ 12,95",629.0,"R$ 0,02","0,18%","0,35%","1,63%","4,54%","0,12%","0,27%","0,38%","0,35%","-12,65%","-12,50%","-20,54%","R$ 11.542.549,62","R$ 22,38",58.0,,,,,,,0
180,RCRB11,Lajes Corporativas,"R$ 157,98",3904.0,"R$ 0,80","0,52%","1,51%","2,99%","6,25%","0,50%","0,50%","0,52%","1,99%","-3,18%","-2,68%","-4,86%","R$ 727.372.877,38","R$ 197,08",80.0,,,,,"7,40%",,10
181,RDPD11,Títulos e Val. Mob.,"R$ 85,00",11.0,"R$ 0,47","0,56%","1,33%","2,79%","5,48%","0,44%","0,47%","0,46%","1,33%","3,94%","4,53%","0,86%","R$ 106.552.478,51","R$ 98,84",86.0,,,,,,,0
182,RECR11,Títulos e Val. Mob.,"R$ 107,10",30677.0,"R$ 1,00","0,92%","3,07%","7,02%","12,08%","1,02%","1,17%","1,01%","3,07%","-5,07%","-4,20%","0,41%","R$ 1.356.527.564,54","R$ 95,29",112.0,,,,,,,0
183,RECT11,Híbrido,"R$ 81,23",21061.0,"R$ 0,60","0,68%","2,25%","4,50%","9,31%","0,75%","0,75%","0,78%","2,25%","1,32%","2,01%","-5,99%","R$ 768.360.581,24","R$ 93,94",86.0,,,,,"32,80%",,8
184,RELG11,Híbrido,"R$ 98,90",3690.0,"R$ 0,86","0,86%","2,27%","0,00%","0,00%","0,76%","0,00%","0,00%","2,27%","3,07%","3,96%","4,04%","R$ 89.582.612,15","R$ 96,19",103.0,,,,,"15,50%","15,50%",3
185,RFOF11,Títulos e Val. Mob.,"R$ 84,10",2483.0,"R$ 0,63","0,73%","2,17%","4,42%","0,00%","0,72%","0,74%","0,00%","2,17%","-2,62%","-1,91%","-1,57%","R$ 100.641.131,08","R$ 93,34",90.0,,,,,,,0
186,RNDP11,Títulos e Val. Mob.,"R$ 691,99",4.0,"R$ 175,00","21,54%","22,45%","23,89%","26,10%","7,48%","3,98%","2,17%","22,86%","-2,11%","18,98%","28,29%","R$ 100.962.386,98","R$ 939,35",74.0,,,,,,,0
187,RNGO11,Lajes Corporativas,"R$ 61,87",3339.0,"R$ 0,39","0,60%","1,79%","3,76%","7,33%","0,60%","0,63%","0,61%","1,79%","0,03%","0,64%","-6,70%","R$ 270.805.175,79","R$ 101,20",61.0,,,,,"24,20%",,3
188,RRCI11,Títulos e Val. Mob.,"R$ 90,48",1292.0,"R$ 0,66","0,75%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,45%","0,00%","0,75%","1,46%","R$ 46.342.781,71","R$ 96,20",94.0,,,,,,,0
189,RVBI11,Títulos e Val. Mob.,"R$ 93,09",4573.0,"R$ 0,72","0,78%","2,27%","4,36%","7,67%","0,76%","0,73%","0,64%","2,27%","0,46%","1,24%","-1,39%","R$ 136.296.671,71","R$ 94,65",98.0,,,,,,,0
190,RZAK11,Títulos e Val. Mob.,"R$ 98,10",12497.0,"R$ 0,50","0,52%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,52%","-3,41%","-2,91%","-2,91%","R$ 292.086.035,72","R$ 97,31",101.0,,,,,,,0
191,RZTR11,Híbrido,"R$ 104,10",24756.0,"R$ 0,80","0,78%","2,35%","0,00%","0,00%","0,78%","0,00%","0,00%","2,35%","-0,96%","-0,18%","-2,46%","R$ 469.216.242,21","R$ 96,67",108.0,,,,,,,0
192,SADI11,Títulos e Val. Mob.,"R$ 85,44",4294.0,"R$ 0,19","0,23%","0,74%","1,36%","3,13%","0,25%","0,23%","0,26%","0,74%","5,16%","5,41%","6,87%","R$ 319.481.216,39","R$ 100,46",85.0,,,,,,,0
193,SARE11,Híbrido,"R$ 100,00",27757.0,"R$ 0,65","0,67%","1,88%","2,59%","4,22%","0,63%","0,43%","0,35%","1,88%","-2,29%","-1,64%","3,92%","R$ 537.536.750,25","R$ 100,39",100.0,,,,,"0,00%",,3
194,SCPF11,Shoppings,"R$ 9,15",1041.0,"R$ 0,00","0,04%","0,68%","1,73%","2,96%","0,23%","0,29%","0,25%","0,68%","1,33%","1,37%","-9,14%","R$ 52.973.753,33","R$ 12,61",73.0,,,,,"25,10%",,1
195,SDIL11,Logística,"R$ 99,09",7327.0,"R$ 0,60","0,60%","1,76%","3,52%","6,43%","0,59%","0,59%","0,54%","1,76%","-3,29%","-2,71%","-2,43%","R$ 661.815.225,95","R$ 103,49",96.0,,,,,"13,30%",,3
196,SEQR11,Outros,"R$ 91,00",2109.0,"R$ 0,67","0,73%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,73%","0,00%","0,73%","0,73%","R$ 155.646.919,90","R$ 105,02",87.0,,,,,,,0
197,SHPH11,Shoppings,"R$ 840,00",58.0,"R$ 1,63","0,20%","1,03%","2,27%","3,11%","0,34%","0,38%","0,26%","1,03%","-2,50%","-2,31%","-0,57%","R$ 499.660.320,46","R$ 820,53",102.0,,,,,"10,90%",,1
198,SPTW11,Lajes Corporativas,"R$ 62,86",4356.0,"R$ 5,15","6,36%","8,43%","11,53%","16,51%","2,81%","1,92%","1,38%","8,43%","-1,30%","4,98%","0,98%","R$ 93.346.867,45","R$ 51,92",121.0,,,,,"0,00%",,1
199,SPVJ11,Outros,,,"R$ 0,70","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 493.158.253,88","R$ 107,39",,,,,,,,0
200,STRX11,,,,"R$ 62,13","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 312.941.691,31","R$ 20.349,17",,,,,,,,0
201,TEPP11,Lajes Corporativas,"R$ 80,80",6660.0,"R$ 0,45","0,52%","1,59%","3,25%","6,57%","0,53%","0,54%","0,55%","1,59%","-2,87%","-2,36%","-3,47%","R$ 400.243.437,11","R$ 94,80",85.0,,,,,"20,00%",,4
202,TGAR11,Outros,"R$ 139,86",32426.0,"R$ 1,30","0,95%","2,59%","5,26%","10,47%","0,86%","0,88%","0,87%","2,59%","-4,39%","-3,48%","-2,17%","R$ 952.034.746,67","R$ 128,68",109.0,,,,,,,0
203,THRA11,Lajes Corporativas,"R$ 137,50",1032.0,"R$ 0,32","0,24%","0,76%","2,04%","4,70%","0,25%","0,34%","0,39%","0,76%","1,12%","1,36%","3,06%","R$ 167.939.494,27","R$ 114,03",121.0,,,,,"9,81%",,1
204,TORD11,Outros,"R$ 10,49",190415.0,"R$ 0,06","0,51%","2,90%","6,64%","0,00%","0,97%","1,11%","0,00%","2,90%","3,79%","4,32%","1,12%","R$ 139.136.325,71","R$ 10,27",102.0,,,,,,,0
205,TRNT11,Lajes Corporativas,"R$ 148,30",23.0,"R$ 0,31","0,19%","0,71%","1,50%","3,19%","0,24%","0,25%","0,27%","0,71%","-2,35%","-2,16%","5,95%","R$ 816.249.354,88","R$ 207,40",72.0,,,,,"39,40%",,1
206,TRXF11,Outros,"R$ 106,00",12101.0,"R$ 0,70","0,65%","1,93%","4,01%","7,49%","0,64%","0,67%","0,62%","1,93%","-3,92%","-3,30%","2,81%","R$ 595.926.109,36","R$ 105,63",100.0,,,,,"0,00%",,43
207,URPR11,Outros,"R$ 129,20",18805.0,"R$ 2,87","2,16%","5,53%","10,97%","0,00%","1,84%","1,83%","0,00%","5,53%","3,72%","5,96%","8,54%","R$ 74.476.869,36","R$ 98,68",131.0,,,,,,,0
208,VCJR11,Títulos e Val. Mob.,"R$ 101,50",6162.0,"R$ 0,60","0,57%","1,96%","4,77%","7,71%","0,65%","0,79%","0,64%","1,96%","-0,46%","0,11%","1,01%","R$ 1.141.413.861,35","R$ 98,36",103.0,,,,,,,0
209,VGHF11,Títulos e Val. Mob.,"R$ 9,68",71688.0,"R$ 0,07",,,,,,,,,,,,"R$ 160.146.466,10","R$ 9,72",100.0,,,,,,,0
210,VGIP11,Outros,"R$ 107,30",16594.0,"R$ 0,85","0,81%","2,82%","6,42%","11,34%","0,94%","1,07%","0,94%","2,82%","-9,25%","-8,52%","-5,43%","R$ 332.556.512,59","R$ 95,17",113.0,,,,,,,0
211,VGIR11,Títulos e Val. Mob.,"R$ 93,43",7754.0,"R$ 0,50","0,53%","1,54%","3,05%","6,25%","0,51%","0,51%","0,52%","1,54%","4,11%","4,67%","7,76%","R$ 435.738.002,39","R$ 96,69",97.0,,,,,,,0
212,VIFI11,Títulos e Val. Mob.,"R$ 89,48",5431.0,"R$ 0,60","0,68%","1,97%","3,90%","0,00%","0,66%","0,65%","0,00%","1,97%","-5,27%","-4,62%","-4,15%","R$ 280.597.594,24","R$ 99,77",90.0,,,,,,,0
213,VILG11,Logística,"R$ 117,40",49685.0,"R$ 0,45","0,38%","1,36%","2,65%","5,37%","0,45%","0,44%","0,45%","1,36%","-4,46%","-4,10%","-1,15%","R$ 1.715.440.589,03","R$ 114,38",103.0,,,,,"1,10%",,13
214,VINO11,Lajes Corporativas,"R$ 60,30",54846.0,"R$ 0,45","0,73%","2,16%","3,99%","7,88%","0,72%","0,67%","0,66%","2,16%","-0,34%","0,39%","-1,03%","R$ 764.666.376,16","R$ 60,33",100.0,,,,,"3,70%",,9
215,VISC11,Shoppings,"R$ 107,09",21928.0,"R$ 0,18","0,16%","1,16%","2,37%","3,55%","0,39%","0,39%","0,30%","1,16%","-3,64%","-3,48%","-4,44%","R$ 1.706.699.631,90","R$ 119,59",90.0,,,,,"7,90%",,15
216,VLOL11,Lajes Corporativas,"R$ 102,06",145.0,"R$ 0,46","0,45%","1,25%","2,47%","5,13%","0,42%","0,41%","0,43%","1,25%","-2,10%","-1,66%","0,77%","R$ 172.897.655,91","R$ 96,87",105.0,,,,,"4,00%",,1
217,VOTS11,Títulos e Val. Mob.,"R$ 83,00",1.0,"R$ 0,44","0,52%","1,31%","2,61%","4,98%","0,44%","0,43%","0,41%","1,31%","4,25%","4,79%","5,61%","R$ 81.930.949,73","R$ 98,96",84.0,,,,,,,0
218,VRTA11,Títulos e Val. Mob.,"R$ 114,50",17110.0,"R$ 0,90","0,78%","2,35%","4,46%","8,24%","0,78%","0,74%","0,69%","2,35%","-0,36%","0,42%","1,63%","R$ 1.002.329.166,68","R$ 100,23",114.0,,,,,,,0
219,VSHO11,Shoppings,"R$ 70,50",427.0,"R$ 0,10","0,14%","0,40%","0,73%","4,23%","0,13%","0,12%","0,35%","0,40%","-6,11%","-5,98%","-13,14%","R$ 210.921.506,35","R$ 100,50",70.0,,,,,"7,07%",,3
220,VTLT11,Logística,"R$ 110,60",4753.0,"R$ 0,75","0,67%","1,97%","3,82%","7,09%","0,66%","0,64%","0,59%","1,97%","-2,33%","-1,68%","-1,74%","R$ 216.125.538,57","R$ 102,19",108.0,,,,,"0,00%","0,00%",1
221,VVPR11,Híbrido,"R$ 99,97",813.0,"R$ 0,62",,,,,,,,,,,,"R$ 231.091.836,17","R$ 100,22",100.0,,,,,"0,00%",,6
222,VXXV11,Outros,,,"R$ 10,76",,,,,,,,,,,,"R$ 72.104.144,88","R$ 1.386,62",,,,,,,,0
223,WPLZ11,Shoppings,"R$ 64,67",101.0,"R$ 0,10","0,15%","0,15%","0,00%","0,00%","0,05%","0,00%","0,00%","0,15%","-3,64%","-3,50%","-3,50%","R$ 107.158.704,61","R$ 104,98",62.0,,,,,"9,40%",,1
224,WTSP11B,Híbrido,"R$ 47,10",1.0,"R$ 0,17","0,33%","0,78%","1,54%","3,49%","0,26%","0,26%","0,29%","0,78%","-3,90%","-3,58%","-4,74%","R$ 79.151.217,54","R$ 79,74",59.0,,,,,,,0
225,XPCI11,Outros,"R$ 97,01",45170.0,"R$ 0,90","0,94%","2,65%","4,86%","8,80%","0,88%","0,81%","0,73%","2,65%","0,63%","1,57%","1,93%","R$ 637.443.437,06","R$ 97,07",100.0,,,,,,,0
226,XPCM11,Lajes Corporativas,"R$ 43,52",7016.0,"R$ 0,38","0,94%","2,53%","8,76%","17,88%","0,84%","1,46%","1,49%","2,53%","-0,49%","0,44%","-28,84%","R$ 175.883.719,98","R$ 72,84",60.0,,,,,"100,00%",,1
227,XPHT11,Hotel,"R$ 86,01",3397.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 331.034.343,27","R$ 87,01",99.0,,,,,"82,20%",,5
228,XPIN11,Outros,"R$ 109,10",9304.0,"R$ 0,62","0,56%","1,65%","3,25%","6,43%","0,55%","0,54%","0,54%","1,65%","-0,75%","-0,20%","-1,78%","R$ 729.732.294,31","R$ 110,79",98.0,,,,,"9,90%",,5
229,XPLG11,Logística,"R$ 114,82",48524.0,"R$ 0,59","0,51%","1,47%","2,85%","5,59%","0,49%","0,48%","0,47%","1,47%","-3,59%","-3,10%","-2,81%","R$ 3.001.645.978,98","R$ 110,76",104.0,,,,,"8,20%","3,20%",13
230,XPML11,Shoppings,"R$ 103,42",34244.0,"R$ 0,15","0,14%","0,69%","2,05%","3,15%","0,23%","0,34%","0,26%","0,69%","2,64%","2,78%","-4,29%","R$ 2.006.411.657,54","R$ 110,20",94.0,,,,,"5,20%",,13
231,XPPR11,Outros,"R$ 66,62",16442.0,"R$ 0,48","0,70%","1,98%","4,24%","9,30%","0,66%","0,71%","0,78%","1,98%","-2,85%","-2,17%","-13,33%","R$ 638.121.228,42","R$ 87,22",76.0,,,,,"38,00%",,4
232,XPSF11,Outros,"R$ 96,10",28238.0,"R$ 0,73","0,75%","2,30%","4,61%","9,08%","0,77%","0,77%","0,76%","2,30%","-0,53%","0,22%","3,03%","R$ 424.734.197,61","R$ 98,09",98.0,,,,,,,0
233,XTED11,Lajes Corporativas,"R$ 6,86",5018.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.443.127,93","R$ 14,19",48.0,,,,,"0,00%","100,00%",1
